file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
security/nss/lib/util/secder.h,174,0,0,0,3.26
security/nss/lib/certdb/cert.h,1676,0,0,0,1.42
security/nss/lib/certdb/xconst.h,36,0,0,0,0.15
security/nss/lib/util/secoid.h,141,0,0,0,2.93
security/nss/lib/util/hasht.h,63,0,0,0,0.59
security/nss/lib/cryptohi/sechash.h,58,0,0,0,0.27
nsprpub/lib/libc/include/plbase64.h,76,0,0,0,3.00
security/nss/lib/cryptohi/keyhi.h,270,0,0,0,1.72
security/nss/lib/cryptohi/cryptohi.h,368,0,0,0,4.00
security/nss/lib/certhigh/ocsp.h,726,0,0,0,4.79
security/nss/lib/certhigh/ocspti.h,359,0,0,0,1.93
security/nss/lib/certhigh/ocspi.h,164,0,0,0,1.12
security/nss/lib/certdb/genname.h,106,0,0,0,0.40
security/nss/lib/certdb/certxutl.h,50,0,0,0,0.39
security/nss/lib/pk11wrap/pk11func.h,15,0,0,0,0.00
build/stlport/stlport/stdarg.h,47,0,0,0,0.00
nsprpub/lib/ds/plhash.h,126,0,0,0,0.59
nsprpub/pr/include/obsolete/protypes.h,199,0,0,0,4.13
security/nss/lib/util/utilrename.h,162,0,0,0,0.00
security/nss/lib/util/secdert.h,129,0,0,0,9.00
nsprpub/pr/include/prerr.h,249,0,0,0,87.00
security/nss/lib/util/secasn1t.h,268,0,0,0,7.19
security/nss/lib/certdb/certt.h,1348,0,0,0,0.93
nsprpub/pr/include/prlong.h,403,0,0,0,4.00
nsprpub/pr/include/prtime.h,262,0,0,0,4.25
build/unix/elfhack/elf.cpp,918,5,47,4,0.08
build/unix/elfhack/elfxx.h,701,2,85,2,0.03
security/nss/lib/cryptohi/keyt.h,10,0,0,0,0.00
security/nss/lib/certhigh/ocspt.h,301,0,0,0,3.06
media/libvpx/vp8/common/x86/variance_mmx.c,398,1,15,0,0.03
media/libvpx/vpx_config.h,61,0,0,0,0.00
media/libvpx/vp8/common/variance.h,426,0,0,0,0.14
media/libvpx/vp8/common/pragmas.h,19,0,0,0,0.00
media/libvpx/vpx_ports/mem.h,46,0,0,0,0.00
media/libvpx/vp8/common/x86/filter_x86.h,19,0,0,0,7.00
gfx/skia/src/lazy/SkBitmapFactory.cpp,81,5,5,3,0.20
gfx/skia/include/lazy/SkBitmapFactory.h,95,0,0,0,2.12
gfx/skia/include/core/SkBitmap.h,806,3,47,3,1.59
gfx/skia/include/core/SkData.h,162,2,19,3,1.40
gfx/skia/include/lazy/SkImageCache.h,125,0,0,0,4.47
gfx/skia/src/image/SkImagePriv.h,68,1,1,0,1.67
gfx/skia/src/lazy/SkLazyPixelRef.h,81,1,6,0,0.75
gfx/skia/include/core/SkRefCnt.h,265,2,41,3,0.68
dom/media/MediaManager.cpp,1861,4,70,6,0.24
dom/media/MediaManager.h,480,2,24,3,0.20
content/media/MediaStreamGraph.h,1076,1,65,2,1.31
dom/media/GetUserMediaRequest.h,48,1,5,0,0.24
xpcom/ds/nsHashPropertyBag.h,44,1,2,0,0.50
dom/base/nsIScriptGlobalObject.h,94,2,4,3,1.52
content/media/Latency.h,100,0,0,0,0.65
content/base/public/nsDOMFile.h,560,1,59,2,0.09
dom/base/nsGlobalWindow.h,1585,1,75,2,0.30
content/media/webrtc/MediaEngineDefault.h,147,1,7,0,0.13
content/media/webrtc/MediaEngineWebRTC.h,409,2,9,3,0.28
dom/media/MediaPermissionGonk.h,36,0,0,0,0.64
content/media/DOMMediaStream.h,270,1,20,1,0.65
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/simple_lsf_quant.c,47,2,1,1,1.80
